zip,city
91901,Alpine
91902,Bonita
91903,Alpine
91905,Boulevard
91906,Campo
91908,Bonita
91909,Chula Vista
91910,Chula Vista
91911,Chula Vista
91912,Chula Vista
91913,Chula Vista
91914,Chula Vista
91915,Chula Vista
91916,Descanso
91917,Dulzura
91921,Chula Vista
91931,Guatay
91932,Imperial Beach
91933,Imperial Beach
91934,Jacumba
91935,Jamul
91941,La Mesa
91942,La Mesa
91943,La Mesa
91944,La Mesa
91945,Lemon Grove
91946,Lemon Grove
91947,Lemon Grove
91948,Mount Laguna
91950,National City
91951,National City
91962,Pine Valley
91963,Potrero
91976,Spring Valley
91977,Spring Valley
91978,Spring Valley
91979,Spring Valley
91980,Tecate
91987,Tecate
91990,Potrero
92003,Bonsall
92007,Cardiff By The Sea
92008,Carlsbad
92009,Carlsbad
92010,Carlsbad
92011,Carlsbad
92013,Carlsbad
92014,Del Mar
92018,Carlsbad
92019,El Cajon
92020,El Cajon
92021,El Cajon
92022,El Cajon
92023,Encinitas
92024,Encinitas
92025,Escondido
92026,Escondido
92027,Escondido
92028,Fallbrook
92029,Escondido
92030,Escondido
92033,Escondido
92036,Julian
92037,La Jolla
92038,La Jolla
92039,La Jolla
92040,Lakeside
92046,Escondido
92049,Oceanside
92051,Oceanside
92052,Oceanside
92054,Oceanside
92055,Camp Pendleton
92056,Oceanside
92057,Oceanside
92058,Oceanside
92059,Pala
92060,Palomar Mountain
92061,Pauma Valley
92064,Poway
92065,Ramona
92066,Ranchita
92067,Rancho Santa Fe
92068,San Luis Rey
92069,San Marcos
92070,Santa Ysabel
92071,Santee
92072,Santee
92074,Poway
92075,Solana Beach
92078,San Marcos
92079,San Marcos
92082,Valley Center
92083,Vista
92084,Vista
92085,Vista
92086,Warner Springs
92088,Fallbrook
92091,Rancho Santa Fe
92092,La Jolla
92093,La Jolla
92096,San Marcos
92101,San Diego
92102,San Diego
92103,San Diego
92104,San Diego
92105,San Diego
92106,San Diego
92107,San Diego
92108,San Diego
92109,San Diego
92110,San Diego
92111,San Diego
92112,San Diego
92113,San Diego
92114,San Diego
92115,San Diego
92116,San Diego
92117,San Diego
92118,Coronado
92119,San Diego
92120,San Diego
92121,San Diego
92122,San Diego
92123,San Diego
92124,San Diego
92126,San Diego
92127,San Diego
92128,San Diego
92129,San Diego
92130,San Diego
92131,San Diego
92132,San Diego
92134,San Diego
92135,San Diego
92136,San Diego
92137,San Diego
92138,San Diego
92139,San Diego
92140,San Diego
92142,San Diego
92143,San Ysidro
92145,San Diego
92147,San Diego
92149,San Diego
92150,San Diego
92152,San Diego
92153,San Diego
92154,San Diego
92155,Coronado
92158,San Diego
92159,San Diego
92160,San Diego
92161,San Diego
92162,San Diego
92163,San Diego
92164,San Diego
92165,San Diego
92166,San Diego
92167,San Diego
92168,San Diego
92169,San Diego
92170,San Diego
92171,San Diego
92172,San Diego
92173,San Ysidro
92174,San Diego
92175,San Diego
92176,San Diego
92177,San Diego
92178,Coronado
92179,San Diego
92182,San Diego
92186,San Diego
92187,San Diego
92190,San Diego
92191,San Diego
92192,San Diego
92193,San Diego
92195,San Diego
92196,San Diego
92197,San Diego
92198,San Diego
92199,San Diego
